"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"99999913724","2023-01-01T23:59:00","39.37778","-74.42361","3.0","ATLANTIC CITY MARINA, NJ US","SOD  ","6","","","","","","","","","","","","","","","","","0718","1645","","53","","","","","6.8","0","16.5","12","58","48","280","21","0.00","","","270","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD35924 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 5824 HR MIN TEMP (F): 48PEAK WIND SPEED (MPH): 21 PEAK WIND DIR (DEG):280 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 12FASTEST 2MIN DIR (DEG):270 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.8 24 HR AVG TEMP (F): 53DEPART FROM NORMAL: 16  HEATING DEGREE DAYS: 12 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913724","2023-01-02T23:59:00","39.37778","-74.42361","3.0","ATLANTIC CITY MARINA, NJ US","SOD  ","6","","","","","","","","","","","","","","","","","0718","1646","","50","","","","","5.0","0","13.7","15","55","45","230","15","0.00","","","260","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD35924 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 5524 HR MIN TEMP (F): 45PEAK WIND SPEED (MPH): 15 PEAK WIND DIR (DEG):230 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 10FASTEST 2MIN DIR (DEG):260 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 5.0 24 HR AVG TEMP (F): 50DEPART FROM NORMAL: 13  HEATING DEGREE DAYS: 15 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913724","2023-01-03T23:59:00","39.37778","-74.42361","3.0","ATLANTIC CITY MARINA, NJ US","SOD  ","6","","","","","","","","","","","","","","","","","0718","1647","","52","","","","","12.7","0","15.8","13","54","49","220","32","0.00","","","230","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD35924 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 5424 HR MIN TEMP (F): 49PEAK WIND SPEED (MPH): 32 PEAK WIND DIR (DEG):220 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 18FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):12.7 24 HR AVG TEMP (F): 52DEPART FROM NORMAL: 15  HEATING DEGREE DAYS: 13 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913724","2023-01-04T23:59:00","39.37778","-74.42361","3.0","ATLANTIC CITY MARINA, NJ US","SOD  ","6","","","","","","","","","","","","","","","","","0718","1648","","57","","","","","8.1","0","20.9","8","61","52","230","31","0.11","","","230","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD35924 HR PRECIPITATION (IN): 0.11 24 HR MAX TEMP (F): 6124 HR MIN TEMP (F): 52PEAK WIND SPEED (MPH): 31 PEAK WIND DIR (DEG):230 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 17FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 8.1 24 HR AVG TEMP (F): 57DEPART FROM NORMAL: 20  HEATING DEGREE DAYS:  8 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913724","2023-01-05T23:59:00","39.37778","-74.42361","3.0","ATLANTIC CITY MARINA, NJ US","SOD  ","6","","","","","","","","","","","","","","","","","0718","1648","","53","","","","","6.2","0","17.0","12","60","46","070","18","0.01","","","070","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD35924 HR PRECIPITATION (IN): 0.01 24 HR MAX TEMP (F): 6024 HR MIN TEMP (F): 46PEAK WIND SPEED (MPH): 18 PEAK WIND DIR (DEG): 70 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 11FASTEST 2MIN DIR (DEG): 70 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.2 24 HR AVG TEMP (F): 53DEPART FROM NORMAL: 16  HEATING DEGREE DAYS: 12 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913724","2023-01-06T23:59:00","39.37778","-74.42361","3.0","ATLANTIC CITY MARINA, NJ US","SOD  ","6","","","","","","","","","","","","","","","","","0718","1649","","46","","","","","5.3","0","10.1","19","50","42","290","26","0.03","","","330","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD35924 HR PRECIPITATION (IN): 0.03 24 HR MAX TEMP (F): 5024 HR MIN TEMP (F): 42PEAK WIND SPEED (MPH): 26 PEAK WIND DIR (DEG):290 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 11FASTEST 2MIN DIR (DEG):330 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 5.3 24 HR AVG TEMP (F): 46DEPART FROM NORMAL:  9  HEATING DEGREE DAYS: 19 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913724","2023-01-07T23:59:00","39.37778","-74.42361","3.0","ATLANTIC CITY MARINA, NJ US","SOD  ","6","","","","","","","","","","","","","","","","","0718","1650","","43","","","","","6.5","0","7.2","22","47","38","330","25","0.00","","","290","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD35924 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 4724 HR MIN TEMP (F): 38PEAK WIND SPEED (MPH): 25 PEAK WIND DIR (DEG):330 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 11FASTEST 2MIN DIR (DEG):290 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.5 24 HR AVG TEMP (F): 43DEPART FROM NORMAL:  7  HEATING DEGREE DAYS: 22 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913724","2023-01-08T23:59:00","39.37778","-74.42361","3.0","ATLANTIC CITY MARINA, NJ US","SOD  ","6","","","","","","","","","","","","","","","","","0718","1651","","39","","","","","6.7","0","3.3","26","43","34","130","24","0.00","","","130","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD35924 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 4324 HR MIN TEMP (F): 34PEAK WIND SPEED (MPH): 24 PEAK WIND DIR (DEG):130 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG):130 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.7 24 HR AVG TEMP (F): 39DEPART FROM NORMAL:  3  HEATING DEGREE DAYS: 26 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913724","2023-01-09T23:59:00","39.37778","-74.42361","3.0","ATLANTIC CITY MARINA, NJ US","SOD  ","6","","","","","","","","","","","","","","","","","0718","1652","","42","","","","","7.2","0","6.4","23","46","38","290","21","0.04","","","220","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD35924 HR PRECIPITATION (IN): 0.04 24 HR MAX TEMP (F): 4624 HR MIN TEMP (F): 38PEAK WIND SPEED (MPH): 21 PEAK WIND DIR (DEG):290 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG):220 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.2 24 HR AVG TEMP (F): 42DEPART FROM NORMAL:  6  HEATING DEGREE DAYS: 23 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913724","2023-01-10T23:59:00","39.37778","-74.42361","3.0","ATLANTIC CITY MARINA, NJ US","SOD  ","6","","","","","","","","","","","","","","","","","0718","1653","","39","","","","","6.2","0","3.4","26","43","34","250","22","0.00","","","270","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD35924 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 4324 HR MIN TEMP (F): 34PEAK WIND SPEED (MPH): 22 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):270 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.2 24 HR AVG TEMP (F): 39DEPART FROM NORMAL:  3  HEATING DEGREE DAYS: 26 COOLING DEGREE DAYS:  0","","","","","","","","","",""
